ID;AKCJE;ADRES;LOGIN_P;HASLO_P;IMIE;NAZWISKO;LOGIN_P1;HASLO_P1;LOGIN_P2;HASLO_P2;LOGIN_M;LOGIN_M1;HASLO_M1;LOGIN_M2;HASLO_M2;PRACOWNI;ZMIANAOD;DZIAL;STANOWI;POZYCJA;MIEJSCE;ETAT_L;ETAT_M;CHARAKTE;WYNAGR1;WYNAGR2;WYNAGR3;BENEFITY;INFO_DOD;AKCEPT_1;AKCEPT_2;ODRZUC_1;ODRZUC_2;STATUS_1;STATUS_2
46a;SP,RM1,CP1;https://portalcloud-demo.assecobs.pl/;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;mclautotest+urszula.bajer@gmail.com;QWE!@#cxz;khermanowi;kadrowa;kadrowa;ubajer;ubajer;Adam Abram;;Produkcja;Brygadzista;;Warszawa;1;1;FIZ/FIZ;7000;500;500;Pakiet medyczny;podwyżka;;;Nie 1;;Skierowany do poprawy;
46b;RP,AM1,CP1,AM2,CP2,DM;https://portalcloud-demo.assecobs.pl/;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;mclautotest+urszula.bajer@gmail.com;QWE!@#cxz;khermanowi;kadrowa;kadrowa;ubajer;ubajer;Adam Abram;;Produkcja;Brygadzista;;Warszawa;1;1;FIZ/FIZ;9000;1000;1000;Pakiet medyczny, samochód;podwyżka;OK 1;OK 2;;;Akceptacja wniosku personel;Zaakceptowany
47a;SP,SPR,RP1,SPR,CP1;https://portalcloud-demo.assecobs.pl/;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;mclautotest+urszula.bajer@gmail.com;QWE!@#cxz;khermanowi;kadrowa;kadrowa;ubajer;ubajer;Adam Abram;;Produkcja;Brygadzista;;Warszawa;1;1;FIZ/FIZ;7000;500;500;Pakiet medyczny;podwyżka;;;Nie 1;;Skierowany do poprawy;
47b;RP,SPR,AP1,SPR,CP1,AP2,SPR,CP2,DM;https://portalcloud-demo.assecobs.pl/;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;mclautotest+urszula.bajer@gmail.com;QWE!@#cxz;khermanowi;kadrowa;kadrowa;ubajer;ubajer;Adam Abram;;Produkcja;Brygadzista;;Warszawa;1;1;FIZ/FIZ;9000;1000;1000;Pakiet medyczny, samochód;podwyżka;OK 1;OK 2;;;Akceptacja wniosku personel;Zaakceptowany
48a;SP,AM1,CP1,RM2,CP2;https://portalcloud-demo.assecobs.pl/;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;mclautotest+urszula.bajer@gmail.com;QWE!@#cxz;khermanowi;kadrowa;kadrowa;ubajer;ubajer;Adam Abram;;Produkcja;Brygadzista;;Warszawa;1;1;FIZ/FIZ;7000;500;500;Pakiet medyczny;podwyżka;OK 1;;;Nie 2;Akceptacja wniosku personel;Skierowany do poprawy
48b;RP,AM1,CP1,AM2,CP2,DM;https://portalcloud-demo.assecobs.pl/;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;mclautotest+urszula.bajer@gmail.com;QWE!@#cxz;khermanowi;kadrowa;kadrowa;ubajer;ubajer;Adam Abram;;Produkcja;Brygadzista;;Warszawa;1;1;FIZ/FIZ;9000;1000;1000;Pakiet medyczny, samochód;podwyżka;OK 1;OK 2;;;Akceptacja wniosku personel;Zaakceptowany
49a;SP,SPR,AP1,SPR,CP1,RP2,SPR,CP2;https://portalcloud-demo.assecobs.pl/;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;mclautotest+urszula.bajer@gmail.com;QWE!@#cxz;khermanowi;kadrowa;kadrowa;ubajer;ubajer;Adam Abram;;Produkcja;Brygadzista;;Warszawa;1;1;FIZ/FIZ;7000;500;500;Pakiet medyczny;podwyżka;OK 1;;;Nie 2;Akceptacja wniosku personel;Skierowany do poprawy
49b;RP,SPR,AP1,SPR,CP1,AP2,SPR,CP2,DM;https://portalcloud-demo.assecobs.pl/;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;mclautotest+urszula.bajer@gmail.com;QWE!@#cxz;khermanowi;kadrowa;kadrowa;ubajer;ubajer;Adam Abram;;Produkcja;Brygadzista;;Warszawa;1;1;FIZ/FIZ;9000;1000;1000;Pakiet medyczny, samochód;podwyżka;OK 1;OK 2;;;Akceptacja wniosku personel;Zaakceptowany
50;SP,SPR,CLP1,SPR,CP1,DM;https://portalcloud-demo.assecobs.pl/;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;mclautotest+urszula.bajer@gmail.com;QWE!@#cxz;khermanowi;kadrowa;kadrowa;ubajer;ubajer;Adam Abram;;Produkcja;Brygadzista;;Warszawa;1;1;FIZ/FIZ;7000;500;500;Pakiet medyczny;podwyżka;;;;;Zamknięty;
51;SP,AM1,CP1,CLP2,SPR,CP2,DM;https://portalcloud-demo.assecobs.pl/;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;mclautotest+urszula.bajer@gmail.com;QWE!@#cxz;khermanowi;kadrowa;kadrowa;ubajer;ubajer;Adam Abram;;Produkcja;Brygadzista;;Warszawa;1;1;FIZ/FIZ;9000;1000;1000;Pakiet medyczny, samochód;podwyżka;OK 1;OK 2;;;Akceptacja wniosku personel;Zamknięty
52;SP,AM1,CP1,WP2,AM2,CP2,DM;https://portalcloud-demo.assecobs.pl/;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;khermanowi;kadrowa;kadrowa;ubajer;ubajer;Adam Abram;;Produkcja;Brygadzista;;Warszawa;1;1;FIZ/FIZ;9000;1000;1000;Pakiet medyczny, samochód;podwyżka;OK 1;;;;Akceptacja wniosku personel;Zaakceptowany
