ID;AKCJE;ADRES;LOGIN_P;HASLO_P;IMIE;NAZWISKO;LOGIN_P1;HASLO_P1;LOGIN_P2;HASLO_P2;LOGIN_M;LOGIN_M1;HASLO_M1;LOGIN_M2;HASLO_M2;TYP;PODTYP;DATAOD;DATADO;DNI;GODZIN;UWAGI;AKCEPT_1;AKCEPT_2;ODRZUC_1;ODRZUC_2;STATUS_1;STATUS_2
36;SP,RM1,CP1,DM;https://portalcloud-demo.assecobs.pl/;mclautotest+adam.abram@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;aabram;khermanowi;khermanowi;kadrowa;kadrowa;Urlop wypoczynkowy;Urlop wypoczynkowy;;;;;Wakacje;;;Nie 1;;Odrzucony;
37;SP,SPR,RP1,SPR,CP1,DM;https://portalcloud-demo.assecobs.pl/;mclautotest+adam.abram@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;aabram;khermanowi;khermanowi;kadrowa;kadrowa;Urlop wypoczynkowy;Urlop wypoczynkowy;;;;;Wakacje;;;Nie 1;;Odrzucony;
38;SP,AM1,CP1,RM2,CP2,DM;https://portalcloud-demo.assecobs.pl/;mclautotest+adam.abram@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;aabram;khermanowi;khermanowi;kadrowa;kadrowa;Urlop wypoczynkowy;Urlop wypoczynkowy;;;;;Wakacje;OK 1;;;Nie 2;Weryfikacja dyrektora;Odrzucony
39;SP,SPR,AP1,SPR,CP1,RP2,SPR,CP2,DM;https://portalcloud-demo.assecobs.pl/;mclautotest+adam.abram@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;aabram;khermanowi;khermanowi;kadrowa;kadrowa;Urlop wypoczynkowy;Urlop wypoczynkowy;;;;;Wakacje;OK 1;;;Nie 2;Weryfikacja dyrektora;Odrzucony
40;SP,AM1,CP1,AM2,CP2,IM,DM;https://portalcloud-demo.assecobs.pl/;mclautotest+adam.abram@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;aabram;khermanowi;khermanowi;kadrowa;kadrowa;Urlop wypoczynkowy;Urlop wypoczynkowy;;;;;Wakacje;OK 1;OK 2;;;Weryfikacja dyrektora;Zaakceptowany
41;SP,SPR,AP1,SPR,CP1,AP2,SPR,CP2,IM,DM;https://portalcloud-demo.assecobs.pl/;mclautotest+adam.abram@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;aabram;khermanowi;khermanowi;kadrowa;kadrowa;Urlop wypoczynkowy;Urlop wypoczynkowy;;;;;Wakacje;OK 1;OK 2;;;Weryfikacja dyrektora;Zaakceptowany
42;SP,SPR,MP;https://portalcloud-demo.assecobs.pl/;mclautotest+adam.abram@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;aabram;khermanowi;khermanowi;kadrowa;kadrowa;Urlop wypoczynkowy;Urlop wypoczynkowy;2022-12-19;2022-12-19;;;Wakacje;;;;;Weryfikacja przełożonego;Zaakceptowany
43;SP,SPR,AP1,SPR,CP1,MP;https://portalcloud-demo.assecobs.pl/;mclautotest+adam.abram@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;aabram;khermanowi;khermanowi;kadrowa;kadrowa;Urlop wypoczynkowy;Urlop wypoczynkowy;2022-12-20;2022-12-20;;;Wakacje;OK 1;OK 2;;;Weryfikacja dyrektora;Zaakceptowany
44;SP,SPR,RP1,SPR,CP1,MP;https://portalcloud-demo.assecobs.pl/;mclautotest+adam.abram@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;aabram;khermanowi;khermanowi;kadrowa;kadrowa;Urlop wypoczynkowy;Urlop wypoczynkowy;2022-12-21;2022-12-21;;;Wakacje;;;Nie 1;;Odrzucony;
45;SP,SPR,AP1,SPR,CP1,RP2,SPR,CP2,MP;https://portalcloud-demo.assecobs.pl/;mclautotest+adam.abram@gmail.com;QWE!@#cxz;Adam;Abram;mclautotest+krystyna.hermanowicz@gmail.com;QWE!@#cxz;mclautotest+sylwia.flis@gmail.com;QWE!@#cxz;aabram;khermanowi;khermanowi;kadrowa;kadrowa;Urlop wypoczynkowy;Urlop wypoczynkowy;2022-12-22;2022-12-22;;;Wakacje;OK 1;;;Nie 2;Weryfikacja dyrektora;Odrzucony
